600083594	INSTITUTOS PÚBLICOS	FUNDO DE INTERVENÇÃO AMBIENTAL	22-10-2008	01-04-2011
600084957	INSTITUTOS PÚBLICOS	FUNDO DE MODERNIZAÇAO DA JUSTIÇA		
901848573	INSTITUTOS PÚBLICOS	FUNDO DE PROTECÇÃO DOS RECURSOS HÍDRICOS		01-04-2010
901848174	INSTITUTOS PÚBLICOS	FUNDO DE REABILITAÇÃO E CONSERVAÇÃO PATRIMONIAL		01-04-2011
680047263	INSTITUTOS PÚBLICOS	FUNDO DE REGULARIZAÇÃO DA DÍVIDA PÚBLICA	30-12-1960	
510338461	INSTITUTOS PÚBLICOS	FUNDO DE RESOLUÇÃO		
510338461	INSTITUTOS PÚBLICOS	FUNDO DE RESOLUÇÃO		
901882020	INSTITUTOS PÚBLICOS	FUNDO DE SALVAGUARDA DO PATRIMÓNIO CULTURAL		
901872490	INSTITUTOS PÚBLICOS	FUNDO PARA A CONSERVAÇÃO DA NATUREZA E DA BIODIVERSIDADE		31/12/12
503191620	INSTITUTOS PÚBLICOS	FUNDO PARA AS RELAÇÕES INTERNACIONAIS		01-04-2011
600082180	INSTITUTOS PÚBLICOS	FUNDO PORTUGUÊS DE CARBONO	24-03-2006	
901963291	INSTITUTOS PÚBLICOS	FUNDO SANITÁRIO E DE SEGURANÇA ALIMENTAR MAIS		01-04-2011
600083250	INSTITUTOS PÚBLICOS	GAB SECRETÁRIO-GERAL SIRP E ESTRUTURAS COMUNS AO SIED E AO SIS	09-01-2008	
600053016	INSTITUTOS PÚBLICOS	GABINETE DE GESTÃO FINANCEIRA DO MINISTÉRIO DA EDUCAÇÃO	25-02-1997	31/12/12
501536272	INSTITUTOS PÚBLICOS	HOSPITAL DE REYNALDO DOS SANTOS - VILA FRANCA DE XIRA		30/10/12
501620605	INSTITUTOS PÚBLICOS	HOSPITAL DE SÃO MARCOS - BRAGA	07-12-1974	31/07/12
